symbol,returnOnEquity,returnOnInvestment,beta,Cluster,Sector,Industry
MYRG,14.06382,9.25327,0.98739,2,Basic Industries,Water Supply
MUSA,44.50946,17.03927,0.98667,1,Consumer Durables,Automotive Aftermarket
MWA,11.69971,6.00851,1.30286,0,Capital Goods,Metal Fabrications
MTOR,57.61511,12.48113,2.24553,1,Capital Goods,Auto Parts:O.E.M.
NGVC,12.1277,5.02431,1.34365,0,Consumer Services,Food Chains
NGVT,33.89607,9.0091,2.2009,1,Basic Industries,Major Chemicals
NCR,49.66163,7.39274,1.7804,1,Miscellaneous,Office Equipment/Supplies/Services
NDAQ,16.06985,9.13054,0.78041,2,Finance,Investment Bankers/Brokers/Service
NFLX,31.15675,9.85413,0.93227,1,Consumer Services,Consumer Electronics/Video Chains
NBLX,18.78545,6.39703,3.46482,0,Energy,Natural Gas Distribution
NEE,10.61736,3.37554,0.14961,2,Public Utilities,Electric Utilities: Central
NESR,4.12746,2.8617,0.936,2,Energy,Oilfield Services/Equipment
NEM,10.87297,6.09296,0.16699,2,Basic Industries,Precious Metals
NEU,37.45639,16.57789,0.41672,1,Basic Industries,Major Chemicals
NGG,7.96999,2.55793,0.29472,2,Public Utilities,Natural Gas Distribution
NC,9.02527,6.74328,1.06213,2,Consumer Durables,Consumer Electronics/Appliances
NDSN,20.12404,10.23724,0.98286,2,Capital Goods,Industrial Machinery/Components
NGS,0.44621,0.38661,2.26279,0,Energy,Oilfield Services/Equipment
NBIX,13.54787,9.55067,1.0005,2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NEWA,14.8621,13.42158,0.95132,2,Basic Industries,Miscellaneous
NEOG,8.59623,8.33634,0.49262,2,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NJR,9.8931,3.91206,0.43253,2,Public Utilities,Oil/Gas Transmission
NOVT,9.61966,5.63915,1.11299,2,Miscellaneous,Industrial Machinery/Components
NKE,29.20104,12.56481,0.84567,1,Consumer Non-Durables,Shoe Manufacturing
NODK,11.77047,6.54776,0.24123,2,Finance,Property-Casualty Insurers
NOMD,9.0245,4.34089,0.84751,2,Consumer Non-Durables,Packaged Foods
NLOK,28.99219,10.38251,0.69682,1,Technology,Computer Software: Prepackaged Software
NICK,4.87182,2.41461,0.50878,2,Finance,Finance Companies
NLS,35.39354,24.80157,1.81558,1,Consumer Non-Durables,Recreational Products/Toys
NISN,6.0417,5.85809,1.05021,2,Capital Goods,Metal Fabrications
NMR,8.55809,1.16779,1.00384,2,Finance,Investment Bankers/Brokers/Service
NICE,8.7245,6.63077,0.74559,2,Technology,Computer Software: Prepackaged Software
NNI,6.63693,0.7036,0.68604,2,Finance,Finance: Consumer Services
NOAH,11.12558,9.32835,1.36322,0,Finance,Investment Managers
NPTN,5.54907,4.00964,1.19898,2,Technology,Semiconductors
NOA,23.06289,6.83693,1.43717,0,Energy,Oilfield Services/Equipment
NOC,24.25983,7.33533,0.74959,2,Capital Goods,Industrial Machinery/Components
NOK,5.00543,2.77047,0.76376,2,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,34.14802,18.84858,1.15906,1,Technology,Computer Software: Prepackaged Software
NL,5.46856,3.66931,1.33137,0,Basic Industries,Major Chemicals
NPK,12.49857,12.37546,0.73069,2,Capital Goods,Ordnance And Accessories
