symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
AEZS,AEterna Zentaris Inc.,$25.02M,n/a,Health Care,Major Pharmaceuticals,,,,,
AEMD,"Aethlon Medical, Inc.",$22.48M,n/a,Health Care,Medical/Dental Instruments,,,,,
AMG,"Affiliated Managers Group, Inc.",$3.95B,n/a,Finance,Investment Managers,,,,,
MGR,"Affiliated Managers Group, Inc.",n/a,2019,Finance,Investment Managers,,,,,
MGRB,"Affiliated Managers Group, Inc.",n/a,2020,Finance,Investment Managers,,,,,
AFMD,Affimed N.V.,$471.66M,2014,Health Care,Major Pharmaceuticals,,,,,
AFL,Aflac Incorporated,$30.86B,n/a,Finance,Accident &Health Insurance,,,,,
AFYA,Afya Limited,$2.47B,2019,Consumer Services,Other Consumer Services,,,,,
MITT,"AG Mortgage Investment Trust, Inc.",$129.5M,2011,n/a,n/a,,,,,
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a,n/a,,,,,
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a,n/a,,,,,
MITT^C,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a,n/a,,,,,
AGBA,AGBA Acquisition Limited,$62.2M,2019,Finance,Business Services,,,,,
AGBAR,AGBA Acquisition Limited,n/a,2019,Finance,Business Services,,,,,
AGBAU,AGBA Acquisition Limited,n/a,2019,Finance,Business Services,,,,,
AGBAW,AGBA Acquisition Limited,n/a,2019,Finance,Business Services,,,,,
AGCO,AGCO Corporation,$6.93B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
UAVS,"AgEagle Aerial Systems, Inc.",$167.56M,n/a,Capital Goods,Aerospace,,,,,
AGEN,Agenus Inc.,$703.55M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
AGE,"AgeX Therapeutics, Inc.",$66.71M,2018,Health Care,Major Pharmaceuticals,,,,,
AGRX,"Agile Therapeutics, Inc.",$246.57M,2014,Health Care,Major Pharmaceuticals,,,,,
A,"Agilent Technologies, Inc.",$35.77B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
AGYS,"Agilysys, Inc.",$881.37M,n/a,Technology,EDP Services,,,,,
AGIO,"Agios Pharmaceuticals, Inc.",$3.21B,2013,Health Care,Major Pharmaceuticals,,,,,
AGMH,AGM Group Holdings Inc.,$434.52M,2018,Technology,EDP Services,,,,,
AGNC,AGNC Investment Corp.,$8.33B,2008,Consumer Services,Real Estate Investment Trusts,,,,,
AGNCM,AGNC Investment Corp.,n/a,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AGNCN,AGNC Investment Corp.,n/a,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AGNCO,AGNC Investment Corp.,n/a,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AGNCP,AGNC Investment Corp.,n/a,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AEM,Agnico Eagle Mines Limited,$15.96B,n/a,Basic Industries,Precious Metals,,,,,
API,"Agora, Inc.",$15.26B,2020,Technology,Computer Software: Prepackaged Software,,,,,
ADC,Agree Realty Corporation,$3.65B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AGFS,"AgroFresh Solutions, Inc.",$122.03M,2014,Finance,Business Services,,,,,
AIKI,AIkido Pharma Inc.,$19.56M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,,,,,
ALRN,"Aileron Therapeutics, Inc.",$44.35M,2017,Health Care,Major Pharmaceuticals,,,,,
AIRI,Air Industries Group,$42.2M,n/a,Capital Goods,Military/Government/Technical,,,,,
AL,Air Lease Corporation,$4.16B,2011,Technology,Diversified Commercial Services,,,,,
AL^A,Air Lease Corporation,n/a,n/a,n/a,n/a,,,,,
APD,"Air Products and Chemicals, Inc.",$61.92B,n/a,Basic Industries,Major Chemicals,,,,,
AIRT,"Air T, Inc.",$31.7M,n/a,Transportation,Air Freight/Delivery Services,,,,,
AIRTP,"Air T, Inc.",n/a,n/a,Transportation,Air Freight/Delivery Services,,,,,
AIRTW,"Air T, Inc.",n/a,n/a,Transportation,Air Freight/Delivery Services,,,,,
ATSG,"Air Transport Services Group, Inc",$1.83B,n/a,Transportation,Air Freight/Delivery Services,,,,,
AIRG,"Airgain, Inc.",$129.72M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,
ANTE,AirNet Technology Inc.,$15.08M,n/a,Technology,Advertising,,,,,
AJAX.U,Ajax I,n/a,2020,n/a,n/a,,,,,
AKAM,"Akamai Technologies, Inc.",$16.85B,1999,Miscellaneous,Business Services,,,,,
AKTX,Akari Therapeutics Plc,$61.56M,n/a,Health Care,Major Pharmaceuticals,,,,,
AKBA,"Akebia Therapeutics, Inc.",$478.42M,2014,Health Care,Major Pharmaceuticals,,,,,
KERN,Akerna Corp.,$60.31M,2018,Technology,EDP Services,,,,,
KERNW,Akerna Corp.,n/a,2018,Technology,EDP Services,,,,,
AKRO,"Akero Therapeutics, Inc.",$999.29M,2019,Health Care,Major Pharmaceuticals,,,,,
AKER,Akers Biosciences Inc.,$38M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,
AKUS,"Akouos, Inc.",$711.03M,2020,Health Care,Major Pharmaceuticals,,,,,
AKTS,"Akoustis Technologies, Inc.",$293.96M,n/a,Public Utilities,Telecommunications Equipment,,,,,
AKU,Akumin Inc.,$230.89M,n/a,Health Care,Medical Specialities,,,,,
ALP^Q,Alabama Power Company,n/a,n/a,n/a,n/a,,,,,
ALG,"Alamo Group, Inc.",$1.61B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
AGI,Alamos Gold Inc.,$3.25B,2015,Basic Industries,Precious Metals,,,,,
ALRM,"Alarm.com Holdings, Inc.",$3.73B,2015,Technology,Computer Software: Prepackaged Software,,,,,
ALK,"Alaska Air Group, Inc.",$6.3B,n/a,Transportation,Air Freight/Delivery Services,,,,,
ALSK,"Alaska Communications Systems Group, Inc.",$164.7M,1999,Public Utilities,Telecommunications Equipment,,,,,
AIN,Albany International Corporation,$2.21B,n/a,Basic Industries,Textiles,,,,,
ALB,Albemarle Corporation,$14.47B,n/a,Basic Industries,Major Chemicals,,,,,
ALAC,Alberton Acquisition Corporation,$51.1M,2018,Finance,Business Services,,,,,
ALACR,Alberton Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
ALACU,Alberton Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
ALACW,Alberton Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
ACI,"Albertsons Companies, Inc.",$7.58B,2020,Consumer Services,Food Chains,,,,,
ALBO,"Albireo Pharma, Inc.",$709.86M,n/a,Health Care,Major Pharmaceuticals,,,,,
AA,Alcoa Corporation,$3.7B,2016,Basic Industries,Aluminum,,,,,
ALC,Alcon Inc.,$31.42B,2019,Health Care,Ophthalmic Goods,,,,,
ALDX,"Aldeyra Therapeutics, Inc.",$272.91M,2014,Health Care,Major Pharmaceuticals,,,,,
ALEC,"Alector, Inc.",$1.04B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ALRS,Alerus Financial Corporation,$411.44M,2019,Finance,Major Banks,,,,,
ALEX,"Alexander & Baldwin, Inc.",$1.13B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
ALX,"Alexander&#39;s, Inc.",$1.4B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",$22.09B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
AXU,Alexco Resource Corp,$328.94M,n/a,Basic Industries,Precious Metals,,,,,
ALXN,"Alexion Pharmaceuticals, Inc.",$26.72B,1996,Health Care,Major Pharmaceuticals,,,,,
AQN,Algonquin Power & Utilities Corp.,$9.36B,2016,Public Utilities,Electric Utilities: Central,,,,,
AQNA,Algonquin Power & Utilities Corp.,n/a,2018,Public Utilities,Electric Utilities: Central,,,,,
AQNB,Algonquin Power & Utilities Corp.,n/a,2019,Public Utilities,Electric Utilities: Central,,,,,
BABA,Alibaba Group Holding Limited,$712.56B,2014,Miscellaneous,Business Services,,,,,
ALCO,"Alico, Inc.",$232.17M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,,,,,
ALIT,Alight Inc.,n/a,n/a,n/a,n/a,,,,,
ALGN,"Align Technology, Inc.",$37.95B,2001,Health Care,Industrial Specialties,,,,,
ALGS,"Aligos Therapeutics, Inc.",$713.19M,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ALIM,"Alimera Sciences, Inc.",$24.07M,2010,Health Care,Major Pharmaceuticals,,,,,
ALYA,Alithya Group inc.,$140.56M,n/a,Technology,"Computer Software: Programming, Data Processing",,,,,
ALJJ,"ALJ Regional Holdings, Inc.",$40.4M,n/a,Miscellaneous,Business Services,,,,,
ALKS,Alkermes plc,$2.91B,1991,Health Care,Major Pharmaceuticals,,,,,
ALLK,Allakos Inc.,$5.62B,2018,Health Care,Major Pharmaceuticals,,,,,
Y,Alleghany Corporation,$8.13B,n/a,Finance,Property-Casualty Insurers,,,,,
ATI,Allegheny Technologies Incorporated,$1.71B,n/a,Basic Industries,Steel/Iron Ore,,,,,
ABTX,"Allegiance Bancshares, Inc.",$647.37M,2015,Finance,Major Banks,,,,,
ALGT,Allegiant Travel Company,$2.79B,2006,Transportation,Air Freight/Delivery Services,,,,,
ALLE,Allegion plc,$10.5B,2013,Consumer Services,Diversified Commercial Services,,,,,
